mode,nfix,n,pfix,SE,lower,upper
asex,65,10000,0.0065,0.0008036,0.004924942,0.008075058
sex,8,10000,0.0008,0.0002827,0.00024585,0.00135415
r=0.25,9,10000,0.0009,0.0002999,0.000312265,0.001487735
r=0.1,20,10000,0.002,0.0004468,0.001124338,0.002875662
r=0.05,19,10000,0.0019,0.0004355,0.001046468,0.002753532
r=0.025,23,10000,0.0023,0.000479031,0.001361099,0.003238901
r=0.01,21,10000,0.0021,0.000457776,0.001202759,0.002997241
r=0.005,20,10000,0.002,0.000446766,0.001124338,0.002875662
r=0.0025,34,10000,0.0034,0.000582103,0.002259078,0.004540922
r=0.001,34,10000,0.0034,0.000582103,0.002259078,0.004540922
r=0.0005,30,10000,0.003,0.0005469,0.001928075,0.004071925
r=0.00025,45,10000,0.0045,0.000669309,0.003188154,0.005811846
r=0,40,10000,0.004,0.000631189,0.002762869,0.005237131
tau=2,17,10000,0.0017,0.00041196,0.000892558,0.002507442
tau=5,37,10000,0.0037,0.00060715,0.002509986,0.004890014
tau=10,42,10000,0.0042,0.000646712,0.002932445,0.005467555
tau=20,66,10000,0.0066,0.000809718,0.005012952,0.008187048
tau=50,63,10000,0.0063,0.000791221,0.004749206,0.007850794
tau=100,75,10000,0.0075,0.000862772,0.005808967,0.009191033
tau=200,69,10000,0.0069,0.000827792,0.005277528,0.008522472
tau=500,76,10000,0.0076,0.000868461,0.005897817,0.009302183
tau=1000,82,10000,0.0082,0.000901818,0.006432436,0.009967564
tau=2000,72,10000,0.0072,0.000845468,0.005542883,0.008857117
